SampleID,Date,Time,ServerTime,SpotSymbol,FutureSymbol,SpotBid,SpotAsk,FutureBid,FutureAsk,SpotMid,FutureMid,Gap,GapBid,GapMid,SpotSpread,FutureSpread,SpotTickTime,FutureTickTime,TickAgeDifferenceSec,SyncStatus,CurrentSession
1,2026.06.29,14:00:27,2026.06.29 14:00:27,XAUUSD,GCQ26,4036.94,4037.02,4050.89,4051.63,4036.980,4051.260,13.950,13.950,14.280,0.08,0.74,2026.06.29 14:00:27,2026.06.29 14:00:27,0.122,SYNCED,Overlap
2,2026.06.29,14:00:28,2026.06.29 14:00:28,XAUUSD,GCQ26,4036.90,4036.99,4050.93,4051.67,4036.945,4051.300,14.030,14.030,14.355,0.09,0.74,2026.06.29 14:00:28,2026.06.29 14:00:28,0.135,SYNCED,Overlap
3,2026.06.29,14:00:29,2026.06.29 14:00:29,XAUUSD,GCQ26,4036.66,4036.74,4050.63,4051.37,4036.700,4051.000,13.970,13.970,14.300,0.08,0.74,2026.06.29 14:00:29,2026.06.29 14:00:28,0.182,SYNCED,Overlap
4,2026.06.29,14:00:30,2026.06.29 14:00:30,XAUUSD,GCQ26,4037.07,4037.15,4051.10,4051.84,4037.110,4051.470,14.030,14.030,14.360,0.08,0.74,2026.06.29 14:00:30,2026.06.29 14:00:30,0.113,SYNCED,Overlap
5,2026.06.29,14:00:31,2026.06.29 14:00:31,XAUUSD,GCQ26,4036.92,4037.01,4050.94,4051.68,4036.965,4051.310,14.020,14.020,14.345,0.09,0.74,2026.06.29 14:00:31,2026.06.29 14:00:31,0.014,SYNCED,Overlap
6,2026.06.29,14:00:32,2026.06.29 14:00:32,XAUUSD,GCQ26,4036.75,4036.85,4050.93,4051.67,4036.800,4051.300,14.180,14.180,14.500,0.10,0.74,2026.06.29 14:00:32,2026.06.29 14:00:32,0.088,SYNCED,Overlap
7,2026.06.29,14:00:33,2026.06.29 14:00:33,XAUUSD,GCQ26,4037.32,4037.42,4051.33,4052.07,4037.370,4051.700,14.010,14.010,14.330,0.10,0.74,2026.06.29 14:00:33,2026.06.29 14:00:33,0.115,SYNCED,Overlap
8,2026.06.29,14:00:34,2026.06.29 14:00:34,XAUUSD,GCQ26,4037.40,4037.50,4051.48,4052.22,4037.450,4051.850,14.080,14.080,14.400,0.10,0.74,2026.06.29 14:00:34,2026.06.29 14:00:33,0.289,SYNCED,Overlap
9,2026.06.29,14:00:35,2026.06.29 14:00:35,XAUUSD,GCQ26,4037.03,4037.13,4051.03,4051.77,4037.080,4051.400,14.000,14.000,14.320,0.10,0.74,2026.06.29 14:00:35,2026.06.29 14:00:35,0.009,SYNCED,Overlap
10,2026.06.29,14:00:36,2026.06.29 14:00:36,XAUUSD,GCQ26,4037.19,4037.29,4051.28,4052.02,4037.240,4051.650,14.090,14.090,14.410,0.10,0.74,2026.06.29 14:00:36,2026.06.29 14:00:36,0.112,SYNCED,Overlap
11,2026.06.29,14:00:37,2026.06.29 14:00:37,XAUUSD,GCQ26,4037.29,4037.39,4051.33,4052.07,4037.340,4051.700,14.040,14.040,14.360,0.10,0.74,2026.06.29 14:00:37,2026.06.29 14:00:37,0.102,SYNCED,Overlap
12,2026.06.29,14:00:38,2026.06.29 14:00:38,XAUUSD,GCQ26,4037.35,4037.45,4051.38,4052.12,4037.400,4051.750,14.030,14.030,14.350,0.10,0.74,2026.06.29 14:00:38,2026.06.29 14:00:37,0.501,SYNCED,Overlap
13,2026.06.29,14:00:39,2026.06.29 14:00:39,XAUUSD,GCQ26,4037.31,4037.41,4051.28,4052.02,4037.360,4051.650,13.970,13.970,14.290,0.10,0.74,2026.06.29 14:00:38,2026.06.29 14:00:39,0.387,SYNCED,Overlap
14,2026.06.29,14:00:40,2026.06.29 14:00:40,XAUUSD,GCQ26,4037.21,4037.30,4051.13,4051.87,4037.255,4051.500,13.920,13.920,14.245,0.09,0.74,2026.06.29 14:00:40,2026.06.29 14:00:40,0.017,SYNCED,Overlap
15,2026.06.29,14:00:41,2026.06.29 14:00:41,XAUUSD,GCQ26,4037.23,4037.32,4051.28,4052.02,4037.275,4051.650,14.050,14.050,14.375,0.09,0.74,2026.06.29 14:00:41,2026.06.29 14:00:40,0.567,SYNCED,Overlap
16,2026.06.29,14:00:43,2026.06.29 14:00:43,XAUUSD,GCQ26,4037.37,4037.45,4051.38,4052.12,4037.410,4051.750,14.010,14.010,14.340,0.08,0.74,2026.06.29 14:00:43,2026.06.29 14:00:43,0.001,SYNCED,Overlap
17,2026.06.29,14:00:44,2026.06.29 14:00:44,XAUUSD,GCQ26,4037.38,4037.46,4051.38,4052.12,4037.420,4051.750,14.000,14.000,14.330,0.08,0.74,2026.06.29 14:00:44,2026.06.29 14:00:43,0.999,SYNCED,Overlap
18,2026.06.29,14:00:45,2026.06.29 14:00:45,XAUUSD,GCQ26,4037.38,4037.45,4051.38,4052.12,4037.415,4051.750,14.000,14.000,14.335,0.07,0.74,2026.06.29 14:00:45,2026.06.29 14:00:43,1.803,SYNCED,Overlap
19,2026.06.29,14:00:46,2026.06.29 14:00:46,XAUUSD,GCQ26,4037.38,4037.45,4051.40,4052.14,4037.415,4051.770,14.020,14.020,14.355,0.07,0.74,2026.06.29 14:00:45,2026.06.29 14:00:46,1.284,SYNCED,Overlap
20,2026.06.29,14:00:47,2026.06.29 14:00:47,XAUUSD,GCQ26,4037.32,4037.38,4051.34,4052.08,4037.350,4051.710,14.020,14.020,14.360,0.06,0.74,2026.06.29 14:00:47,2026.06.29 14:00:47,0.065,SYNCED,Overlap
21,2026.06.29,14:00:48,2026.06.29 14:00:48,XAUUSD,GCQ26,4036.93,4036.99,4050.88,4051.62,4036.960,4051.250,13.950,13.950,14.290,0.06,0.74,2026.06.29 14:00:47,2026.06.29 14:00:47,0.337,SYNCED,Overlap
